,Ticker,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change ,S&P500 52-Week Change ,52 Week High ,52 Week Low ,50-Day Moving Average ,200-Day Moving Average ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,% Held by Insiders ,% Held by Institutions ,Shares Short  ,Short Ratio  ,Short % of Float  ,Short % of Shares Outstanding  ,Shares Short  ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,5 Year Average Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
0,CRWD,41.74B,40.20B,N/A,149.25,3.69,22.47,34.06,21.92,-1.03k,1.27,-33.60%,-11.12%,298.48,130.00,186.10,186.66,3.51M,3.52M,214.83M,N/A,211.92M,1.36%,76.76%,13.79M,3.84,6.52%,5.91%,12.9M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2022","Jul 30, 2022",-9.45%,-7.08%,-2.22%,-15.86%,1.83B,7.96,58.50%,1.07B,-65.64M,-173.24M,-0.79,N/A,2.32B,9.94,771.92M,62.08,1.80,5.25,743.64M,656.29M
1,TEAM,61.93B,61.78B,N/A,147.06,4.84,21.95,184.52,N/A,-138.90,0.94,-39.36%,-11.12%,483.13,159.54,238.07,263.25,1.77M,1.38M,146.01M,N/A,144.62M,0.33%,90.73%,3.81M,1.92,3.00%,1.50%,3.64M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jun 29, 2022","Jun 29, 2022",-21.91%,-3.80%,-2.11%,-194.80%,2.8B,11.06,35.80%,2.34B,-77.73M,-614.12M,-2.86,N/A,1.47B,5.77,1.31B,391.68,1.19,1.32,883.5M,253.75M
2,ZS,24.97B,24.28B,N/A,151.52,3.24,22.73,43.55,22.26,-86.60,1.02,-37.22%,-11.12%,376.11,125.12,163.11,209.28,2.35M,4.28M,143.05M,N/A,85.41M,40.35%,47.40%,6.02M,3.24,7.14%,4.24%,6.13M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jul 30, 2022","Jul 30, 2022",-35.77%,-29.95%,-8.02%,-70.82%,1.09B,7.74,61.40%,850.11M,-298.56M,-390.28M,-2.67,N/A,1.73B,12.1,1.05B,182.40,1.99,4.01,321.91M,480.98M
3,NET,19.29B,19.22B,N/A,625.00,N/A,23.28,33.24,23.65,-119.97,1.10,-53.68%,-11.12%,221.64,38.96,60.57,86.53,4.92M,5.03M,283.02M,N/A,277.39M,6.17%,88.89%,12.8M,2.55,5.73%,3.91%,15.46M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-35.66%,-21.13%,-5.48%,-41.94%,812.63M,2.53,53.90%,509.29M,-116.63M,-289.75M,-0.83,N/A,1.64B,5.01,1.57B,270.03,5.45,1.77,36.48M,91.88M
4,SNOW,62.88B,59.17B,N/A,1.25k,6.35,37.33,11.59,36.12,-88.54,N/A,-40.44%,-11.12%,405.00,110.26,164.84,211.79,7.32M,7.4M,320M,N/A,267.63M,9.45%,67.30%,13.09M,1.69,4.25%,4.09%,12.65M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2022","Jul 30, 2022",-41.25%,-43.09%,-6.74%,-13.00%,1.64B,5.26,82.70%,760.89M,-670.16M,-675.61M,-2.10,N/A,3.95B,12.35,241.76M,4.45,3.21,16.96,343.48M,606.77M
5,HUBS,14.00B,13.50B,N/A,104.17,3.02,9.06,16.07,8.85,-570.68,1.55,-57.52%,-11.12%,866.00,257.21,325.33,428.44,721.76k,860.19k,48.02M,N/A,45.65M,4.91%,93.72%,2.3M,3.72,5.64%,4.79%,2.56M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-6.28%,-5.67%,-2.52%,-11.43%,1.53B,32.17,35.70%,1.04B,-63.48M,-95.81M,-1.36,N/A,1.25B,25.95,746.21M,85.63,2.31,18.19,260.98M,225.78M
6,U,10.68B,10.74B,N/A,N/A,N/A,8.48,4.68,8.81,-20.82,N/A,-72.14%,-11.12%,210.00,29.09,42.60,77.07,10.14M,10.65M,300.47M,N/A,188.76M,5.78%,77.14%,31.79M,3.55,15.13%,10.66%,36.32M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-54.01%,-51.39%,-10.44%,-30.98%,1.22B,4.19,8.60%,862.33M,-502.04M,-658.52M,-2.10,N/A,1.75B,5.88,1.82B,79.59,3.44,7.66,62.54M,168.05M
7,DDOG,28.88B,27.98B,9.12k,86.96,1.49,21.93,23.76,20.49,440.70,1.13,-35.85%,-11.12%,199.68,81.12,102.43,126.19,4.55M,4.25M,290.82M,N/A,249.69M,9.68%,81.03%,10.95M,2.55,3.87%,3.46%,9.34M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",0.48%,0.79%,0.29%,0.62%,1.37B,4.37,73.90%,794.88M,35.63M,6.54M,0.01,N/A,1.7B,5.38,811.29M,66.77,3.31,3.84,403.52M,353.84M
8,DOCN,4.03B,4.33B,N/A,37.59,N/A,N/A,N/A,8.79,67.46,N/A,-47.80%,-11.12%,133.40,30.05,42.62,52.51,1.63M,1.66M,96.93M,N/A,47.06M,28.78%,53.75%,8.19M,5.93,11.83%,8.45%,9.08M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-7.78%,-6.47%,-1.59%,-8.45%,492.3M,4.62,29.00%,257.97M,49.6M,-38.29M,-0.32,N/A,1.17B,12.03,1.47B,"3,037.97",16.59,0.50,148.57M,56.85M
9,ZM,23.42B,18.00B,24.28,21.98,11.10,5.61,3.91,4.19,19.71,-0.49,-71.97%,-11.12%,291.31,77.33,97.44,122.35,4.88M,4.33M,250.98M,N/A,217.96M,12.41%,62.95%,16.71M,2.98,6.67%,5.61%,11.55M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2022","Jul 30, 2022",23.06%,19.73%,7.28%,18.60%,4.3B,14.40,7.60%,3.05B,908.94M,990.14M,3.30,-85.60%,5.52B,18.55,97.94M,1.63,3.44,20.10,1.39B,1.45B
10,SEMR,1.63B,1.44B,N/A,N/A,N/A,7.19,7.47,6.48,-287.19,N/A,-57.86%,-11.12%,28.93,7.41,12.49,13.62,183.82k,168.02k,43.32M,N/A,29.27M,11.22%,79.29%,1.19M,6.64,4.18%,0.85%,1.14M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-6.88%,-4.99%,-2.70%,-8.35%,222.74M,1.60,39.10%,146.07M,-5.36M,-15.33M,-0.05,N/A,248.92M,1.76,N/A,N/A,3.28,1.54,14.29M,26.25M
11,MDB,16.04B,15.44B,N/A,N/A,N/A,14.53,24.01,14.26,-48.68,0.94,-54.92%,-11.12%,590.00,213.39,309.27,357.25,1.64M,2.42M,68.71M,N/A,66.07M,3.66%,91.97%,3.53M,3.26,5.98%,5.14%,3.77M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2022","Jul 30, 2022",-33.43%,-31.98%,-9.14%,-53.94%,1.08B,16.07,52.80%,614.29M,-327.4M,-361.9M,-4.84,N/A,1.8B,26.13,1.24B,185.52,4.02,9.73,-16.58M,161.49M
12,SHOP,40.25B,34.48B,N/A,5.00k,N/A,8.05,4.62,6.89,-17.87,1.82,-77.88%,-11.12%,176.29,29.07,35.05,63.59,31.37M,28.25M,1.19B,N/A,1.18B,0.18%,61.61%,49.28M,1.66,7.04%,3.89%,57.95M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,10:1,"Jun 28, 2022","Dec 30, 2021","Jun 29, 2022",-38.01%,-4.27%,-1.17%,-20.18%,5B,3.98,15.70%,2.48B,-146.13M,-1.9B,0.13,N/A,6.95B,5.48,1.19B,13.68,11.17,6.90,124.6M,291.01M
